Filename,Run Count,Last Run Date
"E:\.dotfiles\windows\aria2c_configs\Aria2\Aria2c启动器.exe",4,133076535993559929
"C:\Program Files\Everything 1.5a\Everything-1.5a.ini",3,133080386048953099
"D:\win11\wsl\wsl-arch-linux",3,133078174632106881
"C:\Program Files (x86)\JPEGView\KeyMap.txt",3,133076956338953764
"C:\Program Files (x86)\AliWangWang\AliIM.exe",2,133079228131299866
"D:\Download\Steelrising [FitGirl Repack]",2,133079156925590500
"D:\Games\Fatal Frame - Maiden of Black Water\FATAL_FRAME_MOBW.exe",2,133077249192231830
"C:\Program Files(x86)\KeyMap.txt",2,133076958602908780
"C:\tools\chfsgui.exe",1,133079429045697726
"C:\Users\mino29\Documents\Steelrising",1,133079115190211018
"C:\Users\mino29\Downloads\wallpapers-wip\nord-4circles.png",1,133078991508574574
"D:\Download\Programs\绘画素材库专用SAI2-2020终极版.exe",1,133078772707119596
"C:\Users\mino29\.ssh",1,133078109000954065
"C:\Users\mino29\~\.emacs.d",1,133077928381893098
"C:\Users\mino29\AppData\Local\lf\lfrc",1,133077777611475603
"C:\Users\mino29\scoop\apps\emacs\28.1\bin\emacs.exe",1,133077351621126075
"C:\Users\mino29\scoop\shims\emacs.exe",1,133077351588751536
"C:\Users\mino29\Downloads\wallpapers-wip",1,133077268274141239
"C:\Users\mino29\Downloads\Programs\win11\general_themes\gruvbox-theme\Wallpapers",1,133077266803267422
"C:\Users\mino29\Documents\GitHub\lean_win11\windows_themes\wallpapers",1,133077266401186145
"C:\Users\mino29\Downloads\Programs\win11\general_themes\nord-theme\wallpapers",1,133077266268261721
"C:\Users\mino29\Downloads\Programs\win11\general_themes\mouse_cursors\unsorted\janguru__22_by_niivu_dfad6qd\Janguru 22 - by niivu (July 31 2022)\Wallpapers",1,133077266036390152
"C:\Windows\Resources\Themes\Nord\Wallpapers",1,133077265880614192
"E:\Repos\switchmaster\test\jpy_cny.py",1,133077111481413455
"C:\'Program Files(x86)'\KeyMap.txt",1,133076957696913615
"C:\Program Files (x86)\JPEGView\JPEGView.exe",1,133076943403905567
"C:\ProgramData\Battle.net\Setup\ow_2\Overwatch-Setup.exe",1,133076556056617990
"C:\Users\mino29\Desktop\meovim-demo.gif",1,133076523933536938
"E:\essential_files\av_downloader\get_avcode.py",1,133075517187512961
"C:\Users\mino29\AppData\Roaming\pypoetry",1,133074840454310593
"C:\Users\mino29\AppData\Local\pypoetry",1,133074835016102764
"D:\Download\Programs\Gaming\extras\winkill_0.3\WinKill.exe",1,133074744118258970
"E:\ns_code_project\simple_hkd_claim.py",1,133074674983527103
"C:\Users\mino29\scoop\apps\oh-my-posh\9.0.0\bin\oh-my-posh.exe",1,133074627675505065
"C:\Users\mino29\scoop\apps\oh-my-posh\9.0.0\oh-my-posh.exe",1,133074627168732974
"C:\Users\mino29\AppData\Roaming\nushell",1,133074603535694042
"D:\win11\python\install-poetry.ps1",1,133074574292128748
"C:\Users\mino29\AppData\Local\pypoetry\Cache\virtualenvs\switchmaster-s5RBCEq4-py3.10\Scripts\python.exe",1,133074570235022451
"D:\Download\Programs\nord-4circles-vertical.png",1,133073891844839368
"E:\clash_profiles\alpha_101.yaml",1,133073881455711680
"C:\Users\mino29\Downloads\Programs\android\F-Droid.apk",1,133073879986505778
"C:\Users\mino29\scoop\apps\btop\1.0.3\btop.exe",1,133073875706188932
"E:\[GigaCourse.Com] Udemy - The Complete 2022 Web Development Bootcamp\01 - Front-End Web Development\008 What You'll Need to Get Started - Setup Your Local Web Development Environment.mp4",1,133073801536920785
"C:\Users\mino29\anaconda3",1,133073773939631900
"C:\Program Files (x86)\JPEGView\JPEGView.ini",1,133073726996982387
"C:\Users\mino29\Downloads\Programs\win11\lfrc",1,133073342274772210
"E:\Coding_setup\git-bash\zsh-5.8-5-x86_64.pkg\usr\share\man\man1\zshcontrib.1.gz",1,133073330388161332
"D:\win11\everything-alpha\Everything-1.5a.ini",1,133073094659431377
"C:\Users\mino29\AppData\Roaming\Everything\Everything-1.5a.ini",1,133073091728175390
